# FRED series allowlist only. Persist as instrument quotes (price_type=REFERENCE), source=fred.
# GOLDAMGBD228NLBM (LBMA AM gold) is discontinued; IQ12260 is ICE Gold Price 10:30 London.
# Gold/oil futures also live on Yahoo (GC=F / CL=F) as distinct unofficial identifiers.
series_id,code,name,asset_class,unit,currency
DGS2,FRED:DGS2,Market Yield on U.S. Treasury Securities at 2-Year Constant Maturity,rate,percent,USD
DGS10,FRED:DGS10,Market Yield on U.S. Treasury Securities at 10-Year Constant Maturity,rate,percent,USD
T10Y2Y,FRED:T10Y2Y,10-Year Treasury Constant Maturity Minus 2-Year Treasury Constant Maturity,rate,percent,USD
DTWEXBGS,FRED:DTWEXBGS,Trade Weighted U.S. Dollar Index: Broad Goods,fx,index,USD
VIXCLS,FRED:VIXCLS,CBOE Volatility Index: VIX,other,index,USD
PAYEMS,FRED:PAYEMS,All Employees Total Nonfarm,other,thousands,USD
DCOILWTICO,FRED:DCOILWTICO,Crude Oil Prices: West Texas Intermediate Cushing Oklahoma,other,USD_per_barrel,USD
PCOPPUSDM,FRED:PCOPPUSDM,Global Price of Copper,other,USD_per_metric_ton,USD
IQ12260,FRED:IQ12260,Gold Fixing Price 10:30 A.M. London,other,USD_per_troy_ounce,USD
